NpcMsgBullfestCondition,754c57c7 u16,9e7becc4 u16,AccessoryID,c35c5af7 u16,286be1f4 u16,BagID,BottomsID,CapID,CombinationNum,EyeAcceID,8c03fdc7 u16,673446c4 u16,b9507563 u16,5267ce60 u16,7b1d9990 u16,902a2293 u16,HelmetID,5ef56066 u16,b5c2db65 u16,d0241896 u16,3b13a395 u16,ShoesID,SocksID,ToolID,TopsID,UmbrellaID,UniqueID,7991b277 u16,92a60974 u32
None,202,401,-2,202,401,12447,-2,12445,3,-2,202,401,202,401,202,401,-2,202,401,202,401,-2,-2,12578,12448,-2,30,202,401
None,202,401,-2,202,401,12447,-2,12444,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12460,-2,12578,12454,-2,31,202,401
None,202,401,-2,202,401,12447,-2,12443,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12459,-2,12578,12453,-2,32,202,401
None,202,401,-2,202,401,12447,-2,12442,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12458,-2,12578,12452,-2,33,202,401
None,202,401,-2,202,401,12447,-2,12441,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12457,-2,12578,12451,-2,34,202,401
None,202,401,-2,202,401,12447,-2,12440,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12456,-2,12578,12450,-2,35,202,401
None,202,401,-2,202,401,12447,-2,12439,3,-2,202,401,202,401,202,401,-2,202,401,202,401,12455,-2,12578,12449,-2,36,202,401
None,203,401,-2,203,401,-2,-2,-2,2,-2,203,401,203,401,203,401,5692,203,401,203,401,12496,-2,12695,12497,-2,37,203,401
None,203,401,-2,203,401,-2,-2,-2,2,-2,203,401,203,401,203,401,5692,203,401,203,401,12496,-2,12695,3336,-2,38,203,401
None,204,401,-2,204,401,-2,-2,9874,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,9839,9947,39,204,401
None,204,401,-2,204,401,-2,-2,5275,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,3288,6912,40,204,401
None,204,401,-2,204,401,-2,-2,5280,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,3287,6909,41,204,401
None,204,401,-2,204,401,-2,-2,9873,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,9838,9949,42,204,401
None,204,401,-2,204,401,-2,-2,9871,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,9836,9948,43,204,401
None,204,401,-2,204,401,-2,-2,5277,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,3286,6907,44,204,401
None,204,401,-2,204,401,-2,-2,5278,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,3290,6911,45,204,401
None,204,401,-2,204,401,-2,-2,5279,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,3293,6910,46,204,401
None,204,401,-2,204,401,-2,-2,9872,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,9837,9950,47,204,401
None,204,401,-2,204,401,-2,-2,5276,2,-2,204,401,204,401,204,401,-2,204,401,204,401,-2,-2,-2,3289,6908,48,204,401
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,5423,-1,-1,-1,-1,5624,-2,-2,3451,-2,50,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11800,-1,-1,-1,-1,5624,-2,-2,11571,-2,51,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11801,-1,-1,-1,-1,5624,-2,-2,11572,-2,52,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11802,-1,-1,-1,-1,5624,-2,-2,11573,-2,53,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11803,-1,-1,-1,-1,5624,-2,-2,11574,-2,54,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11804,-1,-1,-1,-1,5624,-2,-2,11575,-2,55,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11805,-1,-1,-1,-1,5624,-2,-2,11576,-2,56,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11806,-1,-1,-1,-1,5624,-2,-2,11577,-2,57,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,5423,-1,-1,-1,-1,5624,-2,-2,3159,-2,58,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11800,-1,-1,-1,-1,5624,-2,-2,9481,-2,59,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11801,-1,-1,-1,-1,5624,-2,-2,9482,-2,60,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11802,-1,-1,-1,-1,5624,-2,-2,9483,-2,61,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11803,-1,-1,-1,-1,5624,-2,-2,9484,-2,62,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11804,-1,-1,-1,-1,5624,-2,-2,9485,-2,63,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11805,-1,-1,-1,-1,5624,-2,-2,9486,-2,64,-1,65535
None,-1,-1,-2,301,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11806,-1,-1,-1,-1,5624,-2,-2,9487,-2,65,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,301,401,-2,-1,-1,-1,-1,9846,-2,-2,3462,-2,66,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,5386,301,401,-1,-1,5546,-2,-2,5130,-2,67,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11877,301,401,-1,-1,11567,-2,-2,8146,-2,68,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11878,301,401,-1,-1,11568,-2,-2,8147,-2,69,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11879,301,401,-1,-1,11569,-2,-2,8148,-2,70,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,11880,301,401,-1,-1,11570,-2,-2,8149,-2,71,-1,65535
None,-1,-1,11168,-1,-1,-2,-2,5385,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,5639,-2,-2,3450,-2,72,301,401
None,-1,-1,4678,-1,-1,-2,-2,11860,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,11558,-2,-2,9505,-2,73,301,401
None,-1,-1,11166,-1,-1,-2,-2,11861,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,11559,-2,-2,9506,-2,74,301,401
None,-1,-1,11167,-1,-1,-2,-2,11862,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,11560,-2,-2,9507,-2,75,301,401
None,-1,-1,4496,-1,-1,-2,-2,5385,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,5639,-2,-2,3450,-2,76,301,401
None,-1,-1,4496,-1,-1,-2,-2,11860,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,11558,-2,-2,9505,-2,77,301,401
None,-1,-1,4496,-1,-1,-2,-2,11861,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,11559,-2,-2,9506,-2,78,301,401
None,-1,-1,4496,-1,-1,-2,-2,11862,3,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,11560,-2,-2,9507,-2,79,301,401
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11836,-1,-1,-1,-1,-2,-2,-2,8869,-2,80,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11837,-1,-1,-1,-1,-2,-2,-2,8870,-2,81,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11838,-1,-1,-1,-1,-2,-2,-2,8871,-2,82,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11839,-1,-1,-1,-1,-2,-2,-2,8872,-2,83,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11840,-1,-1,-1,-1,-2,-2,-2,8873,-2,84,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11841,-1,-1,-1,-1,-2,-2,-2,8874,-2,85,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,11842,-1,-1,-1,-1,-2,-2,-2,8875,-2,86,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,301,401,-1,-1,-1,-1,5323,-1,-1,-1,-1,-2,-2,-2,8875,-2,87,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-1,-1,301,401,-1,-1,11899,-1,-1,-1,-1,5606,-2,-2,3070,7176,88,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-1,-1,301,401,-1,-1,11900,-1,-1,-1,-1,10152,-2,-2,8679,12134,89,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-1,-1,301,401,-1,-1,11901,-1,-1,-1,-1,10154,-2,-2,8680,12133,90,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-1,-1,301,401,-1,-1,5683,-1,-1,-1,-1,10151,-2,-2,3385,12133,91,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-1,-1,301,401,-1,-1,11897,-1,-1,-1,-1,10149,-2,-2,8684,12135,92,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,3,-2,-1,-1,301,401,-1,-1,11898,-1,-1,-1,-1,10150,-2,-2,8685,7176,93,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,3134,-2,94,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,7901,-2,95,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,7902,-2,96,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,7903,-2,97,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,7904,-2,98,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,7905,-2,99,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,301,401,-2,-2,-2,7906,-2,100,-1,65535
None,301,401,-2,-1,-1,-2,-2,11846,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8140,-2,101,-1,65535
None,301,401,-2,-1,-1,-2,-2,11847,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8141,-2,102,-1,65535
None,301,401,-2,-1,-1,-2,-2,5299,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,4345,-2,103,-1,65535
None,301,401,-2,-1,-1,-2,-2,11846,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8138,-2,104,-1,65535
None,301,401,-2,-1,-1,-2,-2,11847,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8139,-2,105,-1,65535
None,301,401,-2,-1,-1,-2,-2,5299,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,4344,-2,106,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3177,-2,107,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,9588,-2,108,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,9589,-2,109,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,9590,-2,110,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,9591,-2,111,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,9592,-2,112,-1,65535
None,-1,-1,-2,302,401,-2,-2,5140,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,9593,-2,113,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,302,401,11617,-1,-1,-1,-1,-2,-2,-2,9455,-2,114,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,302,401,11618,-1,-1,-1,-1,-2,-2,-2,9456,-2,115,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,302,401,11619,-1,-1,-1,-1,-2,-2,-2,9457,-2,116,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,302,401,11620,-1,-1,-1,-1,-2,-2,-2,9458,-2,117,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,2,-2,-1,-1,-1,-1,302,401,5374,-1,-1,-1,-1,-2,-2,-2,3420,-2,118,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11827,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8119,-2,120,302,401
None,-1,-1,-2,-1,-1,-2,-2,11828,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8120,-2,121,302,401
None,-1,-1,-2,-1,-1,-2,-2,8612,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3612,-2,122,302,401
None,-1,-1,-2,-1,-1,-2,-2,11867,2,-2,302,401,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8681,-2,123,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11868,2,-2,302,401,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8682,-2,124,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11869,2,-2,302,401,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,8683,-2,125,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,5137,2,-2,302,401,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3140,-2,126,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11812,2,-2,-1,-1,302,401,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7790,-2,127,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11813,2,-2,-1,-1,302,401,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3350,-2,128,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,6947,2,-2,-1,-1,302,401,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7791,-2,129,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11812,2,-2,-1,-1,302,401,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7792,-2,130,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,11813,2,-2,-1,-1,302,401,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7793,-2,131,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,6947,2,-2,-1,-1,302,401,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3347,-2,132,-1,65535
None,-1,-1,-2,-1,-1,-2,4504,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,4503,-2,133,-1,65535
None,-1,-1,-2,-1,-1,-2,11347,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7383,-2,134,-1,65535
None,-1,-1,-2,-1,-1,-2,11348,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7384,-2,135,-1,65535
None,-1,-1,-2,-1,-1,-2,11349,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7385,-2,136,-1,65535
None,-1,-1,-2,-1,-1,-2,11350,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7386,-2,137,-1,65535
None,-1,-1,-2,-1,-1,-2,11351,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7387,-2,138,-1,65535
None,-1,-1,-2,-1,-1,-2,11352,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7388,-2,139,-1,65535
None,-1,-1,-2,-1,-1,-2,11353,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,302,401,-2,-2,-2,7389,-2,140,-1,65535
None,302,401,-2,-1,-1,-2,6016,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3055,-2,141,-1,65535
None,302,401,-2,-1,-1,-2,11642,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7560,-2,142,-1,65535
None,302,401,-2,-1,-1,-2,11643,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7561,-2,143,-1,65535
None,302,401,-2,-1,-1,-2,11644,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7562,-2,144,-1,65535
None,302,401,-2,-1,-1,-2,11645,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7563,-2,145,-1,65535
None,302,401,-2,-1,-1,-2,11646,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7564,-2,146,-1,65535
None,302,401,-2,-1,-1,-2,11647,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7565,-2,147,-1,65535
None,302,401,-2,-1,-1,-2,11648,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7566,-2,148,-1,65535
None,302,401,-2,-1,-1,-2,3341,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,3055,-2,149,-1,65535
None,302,401,-2,-1,-1,-2,11635,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7560,-2,150,-1,65535
None,302,401,-2,-1,-1,-2,11636,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7561,-2,151,-1,65535
None,302,401,-2,-1,-1,-2,11637,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7562,-2,152,-1,65535
None,302,401,-2,-1,-1,-2,11638,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7563,-2,153,-1,65535
None,302,401,-2,-1,-1,-2,11639,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7564,-2,154,-1,65535
None,302,401,-2,-1,-1,-2,11640,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7565,-2,155,-1,65535
None,302,401,-2,-1,-1,-2,11641,-2,2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,7566,-2,156,-1,65535
None,-1,-1,-2,303,401,-2,-2,-2,2,-2,-1,-1,-1,-1,-1,-1,5369,-1,-1,-1,-1,-2,-2,-2,5287,-2,157,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,5387,-2,158,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8651,-2,159,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8652,-2,160,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8653,-2,161,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8654,-2,162,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8655,-2,163,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8656,-2,164,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,303,401,-2,-1,-1,-1,-1,-2,-2,-2,8657,-2,165,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,303,401,-1,-1,-2,-2,-2,4328,-2,166,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,303,401,-1,-1,-2,-2,-2,8628,-2,167,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,303,401,-1,-1,-2,-2,-2,8629,-2,168,-1,65535
None,-1,-1,-2,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-1,-1,-2,303,401,-1,-1,-2,-2,-2,8630,-2,169,-1,65535
