ScaleOffset,CatalogItemUniqueID,UniqueID,ColorIndex,Label,ModelName,Name,ResName
0.8,-2,10,255,Cherry,UnitIconPltFruitCherry,サクランボ,UnitIconPltFruitCherry
0.8,-2,11,255,Coconut,UnitIconPltFruitCoconut,ヤシの実,UnitIconPltFruitCoconut
0.8,-2,13,255,Bambooshoot,UnitIconPltFruitBambooshoot,タケノコ,UnitIconPltFruitBambooshoot
0.8,-2,70,255,SeedlingOak,UnitIconPltTreeOakSeeding,広葉樹の苗,UnitIconPltTreeOakSeeding
0.8,-2,125,255,PltOak,UnitIconPltTreeOak,広葉樹,UnitIconPltTreeOak
0.8,-2,71,255,SeedlingCedar,UnitIconPltTreeCedarSeeding,針葉樹の苗,UnitIconPltTreeCedarSeeding
0.8,-2,126,255,PltCedar,UnitIconPltTreeCedar,針葉樹,UnitIconPltTreeCedar
0.8,-2,128,255,PltPalm,UnitIconPltTreePalm,ヤシの木,UnitIconPltTreePalm
0.8,-2,127,255,PltBamboo,UnitIconPltTreeBamboo,竹,UnitIconPltTreeBamboo
0.8,-2,154,255,SeedlingBush,UnitIconPltBushSeeding,低木の苗,UnitIconPltBushSeeding
0.8,-2,292,255,PltBush,UnitIconPltBush,低木,UnitIconPltBush
0.8,7736,123,255,SeedPaperbag,UnitIconFlowerSeed,花の種袋,UnitIconFlowerSeed
1,-2,124,255,Seed,UnitIconPltFlowerSeeding,花の種,UnitIconPltFlowerSeeding
0.8,-2,54,255,DIYBranch,UnitIconPltBranch,D：枝,UnitIconPltBranch
0.8,-2,53,0,DIYWoodNormal,UnitIconPltWood,D：木材,UnitIconPltWood
0.8,-2,52,1,DIYWoodSoft,UnitIconPltWood,D：木材（柔らかい）,UnitIconPltWood
0.8,-2,51,2,DIYWoodHard,UnitIconPltWood,D：木材（硬い）,UnitIconPltWood
0.8,-2,50,255,DIYBamboo,UnitIconPltWoodBamboo,D：竹材,UnitIconPltWoodBamboo
0.8,-2,193,255,DIYBambooSpring,UnitIconPltWoodBambooSpring,はるのわかたけ,UnitIconPltWoodBambooSpring
0.8,-2,200,1,ShellSummer,UnitIconShellSnail,なつのかいがら,UnitIconShellSnail
0.8,-2,191,255,DIYAcorn,UnitIconPltAcorn,どんぐり,UnitIconPltAcorn
0.8,-2,192,255,DIYPinecone,UnitIconPltPinecone,まつぼっくり,UnitIconPltPinecone
1,-2,275,255,Sakurapetal,UnitIconSakurapetal,さくらのはなびら,UnitIconSakurapetal
1,-2,276,255,AutumnLeaf,UnitIconAutumnLeaf,もみじのはっぱ,UnitIconAutumnLeaf
0.8,-2,180,255,SnowCrystalLarge,UnitIconSnowCrystalLarge,ゆきのだいけっしょう,UnitIconSnowCrystalLarge
0.8,-2,179,255,SnowCrystal,UnitIconSnowCrystal,ゆきのけっしょう,UnitIconSnowCrystal
1,-2,214,0,DIYOrnamentRed,UnitIconPltOrnament,オーナメントあか,UnitIconPltOrnament
1,-2,212,1,DIYOrnamentBlue,UnitIconPltOrnament,オーナメントあお,UnitIconPltOrnament
1,-2,213,2,DIYOrnamentGold,UnitIconPltOrnament,オーナメントきん,UnitIconPltOrnament
0.8,-2,63,255,MushSplendid,UnitIconPltMushSplendid,りっぱなキノコ,UnitIconPltMushSplendid
0.8,-2,64,255,MushRound,UnitIconPltMushRound,まるいキノコ,UnitIconPltMushRound
0.8,-2,65,255,MushSlender,UnitIconPltMushSlender,ほそいキノコ,UnitIconPltMushSlender
0.8,-2,66,255,MushFlat,UnitIconPltMushFlat,ひらたいキノコ,UnitIconPltMushFlat
0.8,-2,67,255,MushRare,UnitIconPltMushRare,めずらしいキノコ,UnitIconPltMushRare
1,-2,49,255,DIYStone,UnitIconStone,D：石,UnitIconStone
1,-2,45,255,DIYClay,UnitIconClay,D：粘土,UnitIconClay
1,-2,57,255,DIYIron,UnitIconIron,D：鉄鉱石,UnitIconIron
0.8,-2,55,255,DIYGold,UnitIconGold,D：金鉱石,UnitIconGold
0.8,7733,22,0,ShellSnail,UnitIconShellSnail,貝：巻き貝,UnitIconShellSnail
1,7732,21,255,ShellBivalve,UnitIconShellBivalve,貝：二枚貝,UnitIconShellBivalve
1,-2,14,255,ShellCoral,UnitIconShellCoral,貝：サンゴ,UnitIconShellCoral
1,-2,121,0,SmartPhone,UnitIconSmartphone,スマホ,UnitIconSmartphone
1,-2,187,255,Paper,UnitIconPaper,紙きれ1まい,UnitIconPaper
0.8,-2,185,255,Map,UnitIconMap,地図,UnitIconMap
0.8,-2,217,255,GeneralBox,UnitIconGeneralBox,汎用アイコン：箱,UnitIconGeneralBox
0.8,-2,216,255,GeneralSack,UnitIconGeneralSack,汎用アイコン：袋,UnitIconGeneralSack
0.8,-2,197,0,Starpiece,UnitIconStar0,ほしのかけら,UnitIconStar0
0.8,-2,199,255,StarpieceRare,UnitIconStarRare,ねがいのけっしょう,UnitIconStarRare
0.8,-2,198,1,StarpieceCapricornus,UnitIconStar0,やぎざのかけら,UnitIconStar0
0.8,-2,233,2,StarpieceAquarius,UnitIconStar0,みずがめざのかけら,UnitIconStar0
0.8,-2,234,3,StarpiecePisces,UnitIconStar0,うおざのかけら,UnitIconStar0
0.8,-2,229,4,StarpieceAries,UnitIconStar0,おひつじざのかけら,UnitIconStar0
0.8,-2,230,5,StarpieceTaurus,UnitIconStar0,おうしざのかけら,UnitIconStar0
0.8,-2,231,6,StarpieceGemini,UnitIconStar0,ふたござのかけら,UnitIconStar0
0.8,-2,232,7,StarpieceCancer,UnitIconStar0,かにざのかけら,UnitIconStar0
0.8,-2,227,8,StarpieceLeo,UnitIconStar0,ししざのかけら,UnitIconStar0
0.8,-2,228,9,StarpieceVirgo,UnitIconStar0,おとめざのかけら,UnitIconStar0
0.8,-2,226,10,StarpieceLibra,UnitIconStar0,てんびんざのかけら,UnitIconStar0
0.8,-2,225,11,StarpieceScorpio,UnitIconStar0,さそりざのかけら,UnitIconStar0
0.8,-2,224,12,StarpieceSagittarius,UnitIconStar0,いてざのかけら,UnitIconStar0
0.8,-2,251,0,WPaperYellow,UnitIconWrappingPaper,ラッピングペーパー：イエロー,UnitIconWrappingPaper
0.8,-2,252,1,WPaperPink,UnitIconWrappingPaper,ラッピングペーパー：ピンク,UnitIconWrappingPaper
0.8,-2,254,2,WPaperOrange,UnitIconWrappingPaper,ラッピングペーパー：オレンジ,UnitIconWrappingPaper
0.8,-2,255,3,WPaperLightGreen,UnitIconWrappingPaper,ラッピングペーパー：キミドリ,UnitIconWrappingPaper
0.8,-2,256,4,WPaperGreen,UnitIconWrappingPaper,ラッピングペーパー：ミドリ,UnitIconWrappingPaper
0.8,-2,253,5,WPaperMint,UnitIconWrappingPaper,ラッピングペーパー：ミント,UnitIconWrappingPaper
0.8,-2,246,6,WPaperLightBlue,UnitIconWrappingPaper,ラッピングペーパー：ライトブルー,UnitIconWrappingPaper
0.8,-2,247,7,WPaperPurple,UnitIconWrappingPaper,ラッピングペーパー：パープル,UnitIconWrappingPaper
0.8,-2,248,8,WPaperNavy,UnitIconWrappingPaper,ラッピングペーパー：ネイビー,UnitIconWrappingPaper
0.8,-2,249,9,WPaperBlue,UnitIconWrappingPaper,ラッピングペーパー：ブルー,UnitIconWrappingPaper
0.8,-2,250,10,WPaperWhite,UnitIconWrappingPaper,ラッピングペーパー：ホワイト,UnitIconWrappingPaper
0.8,-2,244,11,WPaperRed,UnitIconWrappingPaper,ラッピングペーパー：レッド,UnitIconWrappingPaper
0.8,-2,245,12,WPaperGold,UnitIconWrappingPaper,ラッピングペーパー：ゴールド,UnitIconWrappingPaper
0.8,-2,243,13,WPaperBrown,UnitIconWrappingPaper,ラッピングペーパー：ブラウン,UnitIconWrappingPaper
0.8,-2,242,14,WPaperGray,UnitIconWrappingPaper,ラッピングペーパー：グレー,UnitIconWrappingPaper
0.8,-2,241,15,WPaperBlack,UnitIconWrappingPaper,ラッピングペーパー：ブラック,UnitIconWrappingPaper
0.8,-2,257,0,WParcelYellow,UnitIconWrapping,ラッピング袋：イエロー,UnitIconWrapping
0.8,-2,258,1,WParcelPink,UnitIconWrapping,ラッピング袋：ピンク,UnitIconWrapping
0.8,-2,259,2,WParcelOrange,UnitIconWrapping,ラッピング袋：オレンジ,UnitIconWrapping
0.8,-2,260,3,WParcelLightGreen,UnitIconWrapping,ラッピング袋：キミドリ,UnitIconWrapping
0.8,-2,261,4,WParcelGreen,UnitIconWrapping,ラッピング袋：ミドリ,UnitIconWrapping
0.8,-2,262,5,WParcelMint,UnitIconWrapping,ラッピング袋：ミント,UnitIconWrapping
0.8,-2,263,6,WParcelLightBlue,UnitIconWrapping,ラッピング袋：ライトブルー,UnitIconWrapping
0.8,-2,264,7,WParcelPurple,UnitIconWrapping,ラッピング袋：パープル,UnitIconWrapping
0.8,-2,265,8,WParcelNavy,UnitIconWrapping,ラッピング袋：ネイビー,UnitIconWrapping
0.8,-2,266,9,WParcelBlue,UnitIconWrapping,ラッピング袋：ブルー,UnitIconWrapping
0.8,-2,267,10,WParcelWhite,UnitIconWrapping,ラッピング袋：ホワイト,UnitIconWrapping
0.8,-2,268,11,WParcelRed,UnitIconWrapping,ラッピング袋：レッド,UnitIconWrapping
0.8,-2,269,12,WParcelGold,UnitIconWrapping,ラッピング袋：ゴールド,UnitIconWrapping
0.8,-2,270,13,WParcelBrown,UnitIconWrapping,ラッピング袋：ブラウン,UnitIconWrapping
0.8,-2,271,14,WParcelGary,UnitIconWrapping,ラッピング袋：グレー,UnitIconWrapping
0.8,-2,272,15,WParcelBlack,UnitIconWrapping,ラッピング袋：ブラック,UnitIconWrapping
0.8,-2,150,255,FlwTulip,UnitIconPltFlwPetalTulip,花：チューリップ,UnitIconPltFlwPetalTulip
0.8,-2,146,255,FlwPansy,UnitIconPltFlwPetalPansy,花：パンジー,UnitIconPltFlwPetalPansy
0.8,-2,148,255,FlwCosmos,UnitIconPltFlwPetalCosmos,花：コスモス,UnitIconPltFlwPetalCosmos
0.8,-2,149,255,FlwRose,UnitIconPltFlwPetalRose,花：バラ,UnitIconPltFlwPetalRose
0.8,-2,174,255,FlwRoseGold,UnitIconPltFlwPetalRoseGold,花：バラ金,UnitIconPltFlwPetalRoseGold
0.8,-2,147,255,FlwLily,UnitIconPltFlwPetalYuri,花：ユリ,UnitIconPltFlwPetalYuri
0.8,-2,155,255,FlwAnemone,UnitIconPltFlwPetalAnemone,花：アネモネ,UnitIconPltFlwPetalAnemone
0.8,-2,144,255,FlwMum,UnitIconPltFlwPetalMum,花：キク,UnitIconPltFlwPetalMum
0.8,-2,145,255,FlwHyacinth,UnitIconPltFlwPetalHyacinth,花：ヒヤシンス,UnitIconPltFlwPetalHyacinth
0.8,-2,281,255,EggGround,UnitIconEggGround,じめんのたまご,UnitIconEggGround
0.8,-2,283,255,EggRock,UnitIconEggRock,いわのたまご,UnitIconEggRock
0.8,-2,284,255,EggLeaf,UnitIconEggLeaf,はっぱのたまご,UnitIconEggLeaf
0.8,-2,285,255,EggForest,UnitIconEggForest,もりのたまご,UnitIconEggForest
0.8,-2,282,255,EggSky,UnitIconEggSky,そらとぶたまご,UnitIconEggSky
0.8,-2,280,255,EggFish,UnitIconEggFish,サカナのたまご,UnitIconEggFish
0.8,-2,291,255,MessageBottleEgg,UnitIconMessageBottleEgg,たまごのメッセージボトル,UnitIconMessageBottleEgg
0.8,-2,290,255,Love,UnitIconLove,あいのけっしょう,UnitIconLove
