ItemReFabricType,RebodyPattern0LightColor,RebodyPattern1LightColor,RebodyPattern2LightColor,RebodyPattern3LightColor,RebodyPattern4LightColor,RebodyPattern5LightColor,RebodyPattern6LightColor,RebodyPattern7LightColor,RefabricPattern0LightColor,RefabricPattern1LightColor,RefabricPattern2LightColor,RefabricPattern3LightColor,RefabricPattern4LightColor,RefabricPattern5LightColor,RefabricPattern6LightColor,RefabricPattern7LightColor,RemakeLotType,ItemUniqueID,RemakeKitNum,UniqueID,d4f43b0b u8,ReBodyPattern0Color0,ReBodyPattern0Color1,ReBodyPattern1Color0,ReBodyPattern1Color1,ReBodyPattern2Color0,ReBodyPattern2Color1,ReBodyPattern3Color0,ReBodyPattern3Color1,ReBodyPattern4Color0,ReBodyPattern4Color1,ReBodyPattern5Color0,ReBodyPattern5Color1,ReBodyPattern6Color0,ReBodyPattern6Color1,ReBodyPattern7Color0,ReBodyPattern7Color1,ReBodyPatternNum,ReFabricPattern0Color0,ReFabricPattern0Color1,ReFabricPattern0VisibleOff,ReFabricPattern1Color0,ReFabricPattern1Color1,ReFabricPattern2Color0,ReFabricPattern2Color1,ReFabricPattern3Color0,ReFabricPattern3Color1,ReFabricPattern4Color0,ReFabricPattern4Color1,ReFabricPattern5Color0,ReFabricPattern5Color1,ReFabricPattern6Color0,ReFabricPattern6Color1,ReFabricPattern7Color0,ReFabricPattern7Color1,ReFabricPatternNum
None,White,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Normal,3428,7,104,0,10,10,12,12,11,11,1,1,4,4,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1558,1,105,0,8,9,9,7,7,13,2,13,4,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1559,2,106,0,8,8,10,9,7,13,5,13,4,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1561,3,107,0,8,8,9,10,6,13,5,13,1,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1565,2,108,0,8,8,9,10,6,13,2,13,1,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2558,1,109,0,8,8,9,10,1,13,2,13,7,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3205,4,111,0,8,8,9,7,7,13,7,13,4,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3206,1,112,0,8,8,9,10,6,13,5,13,1,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3208,2,113,0,8,8,10,9,4,13,2,13,7,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3490,1,114,0,8,8,7,7,0,0,9,9,10,10,12,12,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2740,2,115,0,12,12,1,12,4,12,6,12,7,12,10,10,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1103,2,117,0,8,8,0,0,9,9,12,12,10,10,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,88,1,119,0,0,8,1,13,2,13,4,13,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
MyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2713,2,121,0,12,12,1,1,2,2,7,7,4,4,9,9,10,10,11,11,7,14,14,1,14,2,14,13,14,6,14,13,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2736,1,123,0,4,12,6,12,0,12,14,14,14,14,14,14,14,14,14,14,2,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,Warm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Normal,1432,1,124,0,1,1,4,4,6,6,7,7,2,2,5,5,10,10,8,8,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1112,1,125,0,13,13,4,12,3,7,1,10,13,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3446,6,126,0,12,3,11,0,10,1,9,7,6,7,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,787,1,127,0,11,4,0,10,12,10,10,11,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3439,4,128,0,8,8,12,12,0,0,9,9,10,10,6,6,4,4,2,2,7,14,14,1,14,0,14,2,14,4,14,6,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,83,1,129,0,7,7,1,4,12,5,2,3,4,5,5,1,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1778,1,130,0,11,11,5,5,14,14,14,14,14,14,14,14,14,14,14,14,1,14,12,0,14,8,14,5,14,7,14,14,14,14,14,14,14,14,
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3229,2,131,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,255,14,12,0,14,8,14,4,14,1,14,6,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1889,7,132,0,1,5,4,5,6,1,12,2,5,7,9,6,10,10,2,5,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3449,2,134,0,8,8,12,12,0,0,9,9,10,10,6,6,4,4,2,2,7,14,14,1,14,0,14,2,14,5,14,6,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1913,1,135,0,7,7,8,8,0,0,9,9,10,10,6,6,4,4,2,2,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2554,2,138,0,1,1,7,7,6,6,4,4,12,12,0,0,9,9,10,10,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3230,1,139,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,255,14,1,0,14,4,14,0,14,6,14,14,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1058,2,140,0,9,12,7,12,12,12,10,12,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1170,2,142,0,8,8,7,7,12,12,1,1,9,9,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2010,1,143,0,0,10,12,10,12,12,7,10,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1852,1,145,0,5,10,2,10,0,10,4,10,7,10,2,10,12,10,10,10,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1853,1,146,0,5,10,2,10,0,10,4,10,7,10,2,10,12,10,10,10,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3282,1,147,0,12,0,7,0,5,0,6,0,1,0,11,0,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1092,2,148,0,1,7,6,7,2,12,4,5,10,7,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1881,1,149,0,1,12,5,12,6,11,8,6,6,10,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3582,1,150,0,12,1,12,4,12,7,12,6,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2614,2,151,0,6,10,7,10,2,10,3,10,12,10,10,10,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
MyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1032,2,152,0,8,8,0,0,9,9,12,12,10,10,7,7,4,4,1,1,7,14,4,0,14,1,14,11,14,13,14,13,14,2,14,13,14,14,
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1870,1,153,0,12,12,7,7,1,1,4,4,6,6,2,2,5,5,10,10,7,14,14,1,14,10,14,7,14,4,14,0,14,7,14,14,14,14,
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3305,1,154,0,1,1,2,2,7,7,6,6,4,4,12,12,10,10,14,14,6,14,13,0,14,13,14,0,14,13,14,13,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2771,1,155,0,12,12,10,10,1,1,6,6,0,0,5,5,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,144,3,156,0,10,10,9,9,6,0,7,5,12,2,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1050,1,157,0,12,1,10,6,11,0,0,0,6,3,7,7,2,2,5,6,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1128,1,158,0,12,11,5,4,1,12,2,12,7,12,6,12,10,11,14,14,6,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3588,1,160,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3122,4,161,0,8,12,0,12,9,12,11,12,7,12,6,12,4,12,2,12,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1042,1,166,0,1,12,7,12,4,12,10,12,9,12,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1866,1,167,0,0,6,9,6,12,6,5,6,1,6,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3436,2,168,0,7,7,8,8,0,0,9,9,10,10,6,6,4,4,2,2,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3438,2,169,0,7,13,8,13,0,13,9,13,10,13,6,13,4,13,2,13,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,330,1,171,0,1,13,7,13,6,13,12,13,10,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,146,1,172,0,1,1,4,4,7,7,12,12,1,12,6,12,1,12,7,10,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3346,7,173,0,5,5,6,6,0,0,8,8,7,4,0,6,2,5,10,12,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1348,1,174,0,5,13,2,13,7,13,1,13,9,13,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1598,1,175,0,4,4,2,2,12,12,10,10,7,7,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,531,1,176,0,6,6,6,2,6,6,6,13,6,1,0,9,12,11,14,14,6,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,533,3,177,0,6,9,2,9,6,9,0,9,12,9,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,530,1,178,0,6,6,6,6,8,9,12,11,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,532,2,179,0,6,6,2,2,6,6,10,1,0,9,12,11,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1620,1,180,0,9,9,8,8,7,7,4,4,2,2,12,12,10,10,14,14,6,14,13,0,14,6,14,5,14,12,14,14,14,14,14,14,14,14,
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3468,1,181,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,255,5,13,0,1,12,7,1,2,2,4,4,7,7,12,12,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,664,1,182,0,12,12,10,10,4,5,0,12,7,6,2,3,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1029,1,183,0,8,8,9,9,0,0,14,14,14,14,14,14,14,14,14,14,2,14,12,0,14,1,14,4,14,0,14,11,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1082,1,184,0,9,1,0,4,1,7,9,6,8,5,11,12,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1621,1,185,0,5,12,13,12,2,12,13,12,6,6,10,0,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3348,2,186,0,4,7,2,3,6,1,0,10,13,12,13,4,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3581,1,188,1,9,8,7,8,0,8,14,14,14,14,14,14,14,14,14,14,2,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1624,1,189,0,1,4,3,7,7,5,4,9,0,6,6,7,1,1,10,10,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,865,2,190,0,9,7,2,7,4,6,12,12,10,12,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3407,4,192,1,10,9,4,9,12,9,1,9,8,9,14,14,14,14,14,14,4,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1757,7,193,0,12,12,10,12,1,12,5,12,2,12,7,12,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1227,7,194,0,12,12,10,10,4,4,1,1,7,7,2,2,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,White,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Normal,3590,7,195,0,10,10,11,11,12,12,2,2,14,14,14,14,14,14,14,14,3,14,4,0,14,12,14,13,14,13,14,13,14,13,14,13,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2553,7,196,0,1,10,11,11,10,11,14,14,14,14,14,14,14,14,14,14,2,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,85,3,197,0,6,9,6,9,0,9,12,9,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1043,1,199,0,12,12,10,10,1,1,6,6,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1185,7,200,0,1,1,6,6,4,4,7,7,9,9,12,12,10,10,7,11,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2335,7,201,0,1,12,12,10,12,5,12,12,7,7,9,9,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1797,1,202,0,8,8,8,6,9,8,12,10,12,0,10,10,12,12,14,14,6,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3443,1,203,0,7,5,6,7,5,4,7,9,2,5,10,12,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,Warm,7,3,9,10,1,1,1,1,0,0,0,0,0,0,0,Normal,3416,1,204,0,12,8,3,8,0,8,5,8,6,8,13,8,13,8,13,8,7,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
CommonAndMyDesign,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3307,1,205,0,12,12,10,10,1,1,4,4,7,7,6,6,9,9,14,14,6,14,12,0,14,1,14,6,14,11,14,7,14,14,14,14,14,14,
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,2329,1,206,0,10,10,1,1,7,7,6,6,4,4,12,12,14,14,14,14,5,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3583,1,207,0,13,7,13,7,13,7,13,7,14,14,14,14,14,14,14,14,3,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,3558,1,208,0,6,1,7,1,9,6,14,14,14,14,14,14,14,14,14,14,2,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
None,Warm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Normal,3554,2,209,0,6,8,7,8,9,8,14,14,14,14,14,14,14,14,14,14,2,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,�
